-11.471083	79.681654	34.961812	-76.815275	0.226406	0.201305	-0.038885	0.767470	-0.048916	-0.105621	0.031753	-0.107758	-0.131521	-0.155051	0.067242	-0.667058	
-15.483702	84.265806	40.687831	-64.203923	0.629630	0.423593	-0.044161	1.621894	-0.069404	-0.107034	0.025943	-0.114007	-0.488601	-0.362596	0.067821	-1.476296	
-18.927167	87.128226	38.389151	-48.152570	1.052081	0.662133	-0.336527	2.193379	-0.107058	-0.140566	0.059789	-0.188019	-0.876368	-0.597563	0.328246	-2.012995	
-4.591287	90.572484	25.774475	-57.325410	-0.035192	-0.297961	-0.201467	0.746501	-0.008720	-0.016757	0.049795	-0.064118	0.086177	0.259039	0.230616	-0.711186	
-30.956307	97.452280	77.379563	-87.134385	0.220314	0.167609	-0.147024	0.539491	-0.047319	-0.100356	0.080475	-0.095056	-0.106133	-0.107102	0.110513	-0.452906	
-27.523939	83.119966	33.799176	-82.547518	0.060331	0.268131	0.184342	0.666113	-0.041111	-0.128202	-0.024449	-0.096058	0.015205	-0.210010	-0.112115	-0.582366	
-13.195986	81.970956	33.225983	-64.777653	0.131817	0.378677	0.183882	0.975308	-0.029531	-0.127395	-0.005627	-0.099264	-0.042956	-0.315870	-0.114421	-0.872244	
-34.402942	92.865353	68.786102	-86.561250	0.205144	0.036793	0.030996	0.626602	-0.041468	-0.066162	0.029631	-0.088795	-0.094966	-0.008328	-0.023963	-0.528387	
-8.600736	76.237793	18.896160	-77.961843	0.159563	0.346710	0.065218	0.707769	-0.049002	-0.127423	0.004532	-0.064761	-0.075325	-0.295668	-0.013991	-0.626490	
-13.759592	89.998969	34.966244	-47.006300	1.429563	0.341817	-1.589611	1.888361	-0.118590	-0.103128	0.129365	-0.096546	-1.206015	-0.301100	1.456515	-1.715294	
-21.791173	94.008022	71.640248	-76.242438	0.361336	-0.059722	-0.124588	0.708582	-0.051158	-0.049857	0.059169	-0.084238	-0.240488	0.067127	0.109015	-0.629297	
-0.572325	88.276048	18.896160	-47.006002	0.034253	0.365149	-0.580588	1.825961	0.004213	-0.108878	0.081126	-0.163846	0.041008	-0.318678	0.637622	-1.687235	
