targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-9.000 -7.000 -5.952 -6.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -6.000 0.000 0.000 0.000 0.000 
-9.000 -7.000 -5.952 -6.000 0.000 0.000 0.000 0.000 
-8.048 -7.000 -5.048 -6.000 0.000 0.000 0.000 0.000 
-8.048 -7.000 -5.048 -6.000 0.000 0.000 0.000 0.000 
-8.048 -7.000 -5.048 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.952 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.952 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.952 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.952 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.048 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.048 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.048 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.002 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.002 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.002 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.048 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.048 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.048 -6.000 0.000 0.000 0.000 0.000 
-8.953 -6.000 -5.002 -6.000 0.000 0.000 0.000 0.000 
-8.953 -6.000 -5.002 -6.000 0.000 0.000 0.000 0.000 
-8.953 -6.000 -5.002 -6.000 0.000 0.000 0.000 0.000 
-8.048 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.048 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.048 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.048 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.952 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.952 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
