targetLeft_x[pixels] targetLeft_y[pixels] targetRight_x[pixels] eyeVergence[deg] eyePan[deg] eyeTilt[deg] neckPan[deg] neckTilt[deg]
0.048 0.952 0.000 1.351 -0.287 0.070 -10.877 -1.186 
0.952 0.048 0.000 1.351 -0.287 0.070 -10.877 -1.186 
0.998 0.002 0.000 1.351 -0.287 0.069 -10.866 -1.161 
0.050 0.000 0.048 1.350 -0.284 0.067 -10.873 -1.161 
0.952 0.000 0.952 1.351 -0.274 0.067 -10.865 -1.173 
0.048 0.000 0.048 1.351 -0.263 0.067 -10.875 -1.172 
0.950 0.000 0.950 1.350 -0.259 0.066 -10.875 -1.162 
0.048 0.950 0.048 1.349 -0.251 0.065 -10.872 -1.150 
0.952 0.048 0.002 1.346 -0.235 0.063 -10.873 -1.128 
0.002 0.000 0.000 1.346 -0.225 0.063 -10.873 -1.137 
0.000 0.000 0.000 1.346 -0.222 0.063 -10.864 -1.126 
0.000 0.000 0.000 1.346 -0.216 0.062 -10.873 -1.127 
0.000 0.000 -0.950 1.346 -0.215 0.062 -10.873 -1.136 
0.000 0.000 -0.047 1.346 -0.215 0.062 -10.869 -1.129 
0.000 0.000 -0.048 1.346 -0.215 0.062 -10.881 -1.121 
0.000 0.000 -0.952 1.346 -0.215 0.062 -10.876 -1.107 
0.000 0.000 -0.952 1.346 -0.215 0.062 -10.876 -1.107 
0.000 0.000 -0.998 1.346 -0.215 0.062 -10.884 -1.101 
0.000 0.000 -0.050 1.346 -0.215 0.062 -10.886 -1.113 
0.000 0.000 -0.000 1.346 -0.215 0.062 -10.888 -1.105 
0.000 0.000 -0.000 1.346 -0.215 0.062 -10.888 -1.105 
0.000 0.000 -0.000 1.355 -0.224 0.062 -10.894 -1.114 
0.000 0.000 -0.000 1.360 -0.229 0.062 -10.898 -1.114 
0.000 0.000 -0.000 1.362 -0.231 0.062 -10.895 -1.117 
0.000 0.000 -0.000 1.362 -0.231 0.062 -10.895 -1.117 
0.000 0.000 0.000 1.362 -0.231 0.062 -10.906 -1.113 
0.000 0.000 0.000 1.362 -0.231 0.062 -10.903 -1.115 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.902 -1.122 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.902 -1.122 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.909 -1.125 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.921 -1.114 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.921 -1.114 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.920 -1.113 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.920 -1.113 
0.000 0.000 0.000 1.362 -0.232 0.062 -10.931 -1.125 
0.950 0.000 0.000 1.362 -0.232 0.062 -10.923 -1.126 
0.048 0.000 0.000 1.362 -0.232 0.062 -10.936 -1.124 
0.950 0.000 0.000 1.362 -0.232 0.062 -10.936 -1.124 
0.048 0.000 0.000 1.362 -0.232 0.062 -10.931 -1.122 
0.002 0.000 0.000 1.361 -0.231 0.062 -10.936 -1.124 
0.950 0.047 0.000 1.360 -0.230 0.062 -10.925 -1.123 
0.048 0.002 0.000 1.360 -0.230 0.062 -10.925 -1.123 
0.002 0.950 0.000 1.360 -0.230 0.062 -10.939 -1.126 
0.048 0.002 0.000 1.358 -0.228 0.062 -10.931 -1.129 
0.002 0.950 0.000 1.357 -0.225 0.062 -10.941 -1.130 
0.950 0.050 0.950 1.359 -0.221 0.062 -10.932 -1.121 
0.048 0.952 0.048 1.359 -0.221 0.062 -10.932 -1.121 
0.002 0.998 0.002 1.359 -0.216 0.062 -10.948 -1.126 
0.048 0.952 0.000 1.361 -0.214 0.062 -10.936 -1.138 
0.002 0.998 0.000 1.363 -0.212 0.062 -10.945 -1.132 
0.950 0.050 0.950 1.363 -0.212 0.062 -10.945 -1.133 
0.048 0.952 0.998 1.362 -0.211 0.059 -10.945 -1.130 
0.048 0.952 1.000 1.361 -0.210 0.056 -10.945 -1.128 
0.952 0.048 1.000 1.358 -0.207 0.053 -10.945 -1.125 
0.048 0.952 1.000 1.358 -0.207 0.053 -10.945 -1.125 
0.002 0.998 1.000 1.352 -0.202 0.052 -10.945 -1.146 
0.950 0.050 1.000 1.341 -0.174 0.048 -10.949 -1.145 
0.048 0.952 0.050 1.339 -0.169 0.047 -10.945 -1.140 
0.950 0.050 0.000 1.336 -0.162 0.046 -10.945 -1.136 
0.048 0.952 0.000 1.336 -0.162 0.046 -10.945 -1.136 
0.952 0.048 0.000 1.335 -0.150 0.043 -10.937 -1.133 
0.050 0.950 -0.950 1.334 -0.146 0.042 -10.946 -1.127 
0.002 0.998 -0.997 1.335 -0.145 0.041 -10.935 -1.130 
0.950 0.050 -0.050 1.336 -0.142 0.040 -10.940 -1.137 
0.002 0.000 -0.998 1.341 -0.137 0.037 -10.942 -1.132 
0.000 0.000 -1.000 1.341 -0.137 0.037 -10.942 -1.132 
0.000 0.000 -1.000 1.344 -0.134 0.036 -10.934 -1.147 
0.000 0.000 -1.000 1.345 -0.133 0.036 -10.942 -1.151 
0.000 0.000 -1.000 1.345 -0.133 0.036 -10.942 -1.151 
0.000 0.000 -1.000 1.365 -0.151 0.036 -10.935 -1.134 
0.000 0.000 -0.050 1.372 -0.159 0.036 -10.934 -1.129 
0.000 0.000 -0.998 1.372 -0.159 0.036 -10.934 -1.129 
0.000 0.000 -1.000 1.378 -0.162 0.036 -10.948 -1.125 
0.000 0.000 -1.000 1.380 -0.163 0.036 -10.946 -1.122 
0.000 0.000 -1.000 1.380 -0.163 0.036 -10.946 -1.122 
0.000 0.000 -1.000 1.382 -0.163 0.037 -10.943 -1.126 
0.000 0.000 -1.000 1.396 -0.175 0.037 -10.944 -1.122 
0.000 0.000 -1.000 1.400 -0.178 0.037 -10.956 -1.120 
0.000 0.000 -1.000 1.410 -0.184 0.037 -10.946 -1.119 
0.000 0.000 -1.000 1.415 -0.189 0.037 -10.958 -1.119 
0.000 0.000 -1.000 1.415 -0.189 0.037 -10.958 -1.119 
0.000 0.000 -1.000 1.420 -0.192 0.037 -10.950 -1.120 
0.000 0.000 -0.952 1.428 -0.198 0.037 -10.961 -1.117 
0.000 0.000 -0.998 1.433 -0.202 0.037 -10.958 -1.121 
0.000 0.000 -1.000 1.439 -0.205 0.037 -10.956 -1.119 
0.000 0.000 -0.050 1.449 -0.203 0.037 -10.965 -1.122 
0.000 0.000 -0.952 1.455 -0.210 0.037 -10.956 -1.126 
0.000 0.000 -0.952 1.458 -0.213 0.037 -10.969 -1.129 
0.000 0.000 -0.998 1.458 -0.213 0.037 -10.965 -1.130 
0.000 0.000 -0.050 1.458 -0.213 0.037 -10.965 -1.130 
0.000 0.000 -0.950 1.466 -0.221 0.037 -10.972 -1.113 
0.000 0.000 -0.048 1.466 -0.221 0.037 -10.970 -1.119 
0.000 0.000 -0.000 1.466 -0.221 0.037 -10.965 -1.116 
0.000 0.000 -0.950 1.468 -0.223 0.037 -10.977 -1.123 
0.000 0.000 -0.002 1.469 -0.224 0.037 -10.977 -1.123 
0.000 0.000 -0.000 1.468 -0.223 0.037 -10.973 -1.109 
0.000 0.000 -0.000 1.468 -0.223 0.037 -10.984 -1.115 
0.000 0.000 -0.000 1.472 -0.227 0.037 -10.991 -1.113 
0.000 0.000 -0.000 1.472 -0.227 0.037 -10.991 -1.113 
0.000 0.000 -0.000 1.474 -0.224 0.037 -10.993 -1.118 
0.000 0.000 -0.000 1.474 -0.224 0.037 -10.993 -1.118 
0.000 0.000 0.000 1.475 -0.224 0.037 -10.987 -1.123 
0.000 0.000 0.000 1.475 -0.223 0.037 -10.996 -1.120 
0.000 0.000 0.000 1.475 -0.223 0.037 -10.996 -1.120 
0.000 0.000 0.000 1.475 -0.222 0.037 -11.001 -1.127 
0.000 0.000 0.000 1.475 -0.222 0.037 -11.001 -1.122 
0.000 0.000 0.000 1.475 -0.222 0.037 -11.001 -1.122 
0.000 0.000 0.000 1.475 -0.222 0.037 -11.001 -1.122 
0.000 0.000 0.000 1.475 -0.222 0.037 -11.016 -1.124 
0.000 0.000 0.000 1.475 -0.222 0.037 -11.011 -1.122 
0.000 0.000 0.048 1.475 -0.222 0.037 -11.011 -1.122 
0.000 0.000 0.002 1.475 -0.222 0.037 -11.023 -1.137 
0.000 0.000 0.950 1.475 -0.222 0.037 -11.017 -1.131 
0.000 0.000 0.952 1.475 -0.222 0.037 -11.017 -1.131 
0.000 0.000 0.048 1.474 -0.221 0.037 -11.029 -1.142 
0.000 0.000 0.950 1.474 -0.221 0.037 -11.029 -1.142 
0.000 0.000 0.048 1.466 -0.214 0.037 -11.036 -1.136 
0.000 0.000 0.000 1.466 -0.214 0.037 -11.036 -1.136 
0.000 0.000 0.000 1.464 -0.212 0.037 -11.030 -1.142 
0.000 0.000 0.000 1.462 -0.210 0.037 -11.042 -1.144 
0.950 0.000 0.000 1.462 -0.210 0.037 -11.042 -1.144 
0.050 0.000 0.000 1.464 -0.207 0.037 -11.039 -1.127 
0.952 0.000 0.950 1.465 -0.206 0.037 -11.053 -1.121 
1.000 0.000 0.002 1.466 -0.206 0.037 -11.036 -1.117 
0.050 0.000 0.000 1.471 -0.196 0.037 -11.048 -1.117 
0.048 0.000 0.000 1.466 -0.192 0.037 -11.036 -1.114 
0.952 0.000 0.000 1.464 -0.179 0.037 -11.039 -1.114 
0.050 0.000 0.000 1.464 -0.179 0.037 -11.039 -1.114 
0.002 0.000 0.950 1.466 -0.178 0.037 -11.047 -1.126 
0.048 0.000 0.002 1.466 -0.178 0.037 -11.035 -1.116 
0.952 0.000 0.000 1.466 -0.178 0.037 -11.046 -1.115 
0.998 0.000 0.000 1.466 -0.178 0.037 -11.046 -1.113 
0.050 0.000 0.000 1.458 -0.170 0.037 -11.049 -1.117 
0.002 0.000 0.000 1.460 -0.161 0.037 -11.040 -1.115 
0.998 0.000 0.048 1.461 -0.158 0.037 -11.032 -1.103 
0.050 0.000 0.952 1.461 -0.157 0.037 -11.046 -1.123 
0.952 0.000 0.048 1.461 -0.157 0.037 -11.046 -1.123 
0.050 0.000 0.000 1.463 -0.148 0.037 -11.044 -1.114 
0.952 0.000 0.000 1.462 -0.145 0.037 -11.041 -1.093 
0.048 0.000 0.000 1.462 -0.140 0.037 -11.032 -1.101 
0.048 0.000 0.950 1.462 -0.140 0.037 -11.032 -1.101 
0.002 0.000 0.048 1.462 -0.140 0.037 -11.032 -1.101 
0.000 0.000 0.002 1.463 -0.128 0.037 -11.036 -1.118 
0.000 0.000 0.048 1.463 -0.128 0.037 -11.036 -1.118 
