targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-1.000 -0.002 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.002 -0.048 -1.000 0.000 0.115 0.047 -0.005 0.127 
-1.002 -0.048 -1.000 0.000 0.115 0.047 -0.005 0.127 
-1.000 -0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 -0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -0.998 0.000 0.118 0.052 -0.007 0.133 
-1.000 0.000 -0.998 0.000 0.118 0.052 -0.007 0.133 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -1.000 0.000 0.117 0.051 -0.006 0.129 
-1.000 0.000 -0.048 0.000 0.590 0.525 -0.371 1.680 
-1.000 0.000 -0.048 0.000 0.590 0.524 -0.371 1.679 
-1.000 0.000 -0.050 0.000 0.589 0.522 -0.370 1.675 
-1.000 0.000 -0.050 0.000 0.590 0.522 -0.370 1.676 
-0.953 0.000 -0.000 0.000 0.586 0.522 -0.372 1.676 
-0.953 0.000 -0.000 0.000 0.588 0.522 -0.373 1.680 
-0.000 -1.000 0.000 0.000 -0.067 -0.115 0.053 -0.137 
-28.050 40.950 -25.050 43.000 5.893 7.924 -0.265 12.988 
-28.050 40.950 -25.050 43.000 5.890 7.866 -0.313 12.894 
-29.000 41.000 -25.000 43.000 6.372 8.455 -0.482 14.550 
-29.000 41.000 -25.000 43.000 6.430 8.487 -0.577 14.660 
-28.050 39.100 -24.050 41.100 6.302 8.246 -0.676 14.425 
-28.050 39.100 -24.050 41.100 6.432 8.301 -0.901 14.645 
-25.053 32.105 -22.005 33.155 5.463 6.798 -0.790 11.964 
-25.053 32.105 -22.005 33.155 5.531 6.832 -0.903 12.088 
-22.053 31.000 -20.003 33.000 4.830 5.999 -0.872 10.076 
-22.053 31.000 -20.003 33.000 4.905 6.019 -1.010 10.184 
-20.050 28.102 -18.052 30.055 4.559 5.540 -1.041 9.518 
-20.050 28.102 -18.052 30.055 4.594 5.550 -1.106 9.569 
-20.000 24.005 -18.000 25.053 4.388 5.064 -1.037 9.048 
-20.950 23.003 -18.997 24.050 4.511 4.975 -1.170 9.062 
-20.950 23.003 -18.997 24.050 4.538 4.974 -1.224 9.088 
-20.002 17.105 -19.000 18.105 3.695 3.671 -0.835 6.583 
-19.003 17.000 -18.050 18.000 3.613 3.593 -0.919 6.440 
-19.003 17.000 -18.050 18.000 3.630 3.591 -0.953 6.453 
-19.003 17.000 -18.050 18.000 3.648 3.588 -0.988 6.468 
-17.050 15.053 -17.003 16.052 2.911 2.730 -0.694 4.415 
-17.050 15.053 -17.003 16.052 2.922 2.728 -0.716 4.423 
-16.000 14.000 -15.050 15.000 3.167 3.061 -0.952 5.691 
-16.000 14.000 -15.050 15.000 3.181 3.052 -0.983 5.691 
-15.048 13.050 -15.000 14.050 2.593 2.374 -0.679 3.893 
-15.048 13.050 -15.000 14.050 2.605 2.375 -0.699 3.906 
-14.003 11.003 -14.003 12.003 2.336 2.048 -0.595 3.401 
-14.003 11.003 -14.003 12.003 2.342 2.047 -0.605 3.405 
-13.003 11.000 -13.050 12.000 2.208 1.963 -0.598 3.190 
-13.003 11.000 -13.050 12.000 2.215 1.961 -0.612 3.194 
-12.003 9.050 -12.050 10.050 1.975 1.675 -0.518 2.787 
-12.003 9.050 -12.050 10.050 1.979 1.674 -0.525 2.788 
-11.003 9.000 -12.000 9.953 1.394 1.091 -0.194 1.025 
-11.003 9.000 -12.000 9.953 1.395 1.091 -0.196 1.026 
-11.000 7.050 -11.000 8.050 1.763 1.409 -0.451 2.460 
-11.000 7.050 -11.000 8.050 1.764 1.406 -0.454 2.457 
-10.000 7.000 -10.003 7.003 1.643 1.344 -0.446 2.310 
-10.000 7.000 -10.003 7.003 1.646 1.341 -0.453 2.309 
-9.050 7.000 -10.000 7.050 1.062 0.780 -0.107 0.572 
-9.050 7.000 -10.000 7.050 1.063 0.780 -0.108 0.573 
-9.000 5.003 -9.000 6.000 1.403 1.055 -0.352 1.903 
-9.000 5.003 -9.000 6.000 1.403 1.052 -0.354 1.900 
-8.000 5.000 -8.002 6.000 1.283 0.997 -0.345 1.761 
-8.000 5.000 -8.002 6.000 1.285 0.996 -0.347 1.762 
-7.952 4.003 -8.000 5.003 1.192 0.854 -0.280 1.540 
-7.952 4.003 -8.000 5.003 1.193 0.853 -0.281 1.541 
-7.000 4.000 -7.000 4.950 1.103 0.828 -0.290 1.493 
-7.000 4.000 -7.000 4.950 1.104 0.827 -0.292 1.493 
-6.003 3.050 -6.003 4.048 0.922 0.665 -0.231 1.228 
-6.003 3.050 -6.003 4.048 0.923 0.664 -0.233 1.228 
-6.000 3.002 -5.952 4.000 0.945 0.683 -0.249 1.301 
-6.000 3.002 -5.952 4.000 0.945 0.683 -0.250 1.301 
-5.000 3.000 -5.950 4.000 0.317 0.111 0.142 -0.517 
-5.000 3.000 -5.950 4.000 0.317 0.111 0.142 -0.518 
-5.000 3.000 -5.950 4.000 0.317 0.112 0.142 -0.517 
-5.000 3.000 -5.000 3.000 0.801 0.604 -0.221 1.085 
-5.000 2.998 -5.000 3.000 0.800 0.603 -0.221 1.083 
-5.000 2.998 -5.000 3.000 0.800 0.603 -0.221 1.082 
-5.000 2.998 -5.000 3.000 0.801 0.602 -0.222 1.082 
-4.003 2.002 -4.952 3.002 0.130 -0.051 0.207 -0.782 
-4.000 1.050 -4.000 2.002 0.552 0.327 -0.107 0.680 
-4.000 1.050 -4.000 2.002 0.552 0.327 -0.107 0.680 
-4.000 2.000 -3.050 2.998 1.101 0.920 -0.525 2.402 
